id,title,description,filename,originalFilename,idThumbnail,contentType,idSource,conversion_status,userId,duration,viewCounter,created,shownInList,whishedStatus,sns,is_private,transcriptProcessId,taggingProcessId,external_id,thumbnail_url,disable_qa,oldFilename,eventAction,currentUserDomain,originalOwnerId
229,Email Management,<p>Email Management</p>,o_1e2jtcucl7l01gc69q916mtukuf.pdf,Email Management.pdf,"",5,1,20,13678,"",32,1583363815000,false,"",0,0,1829,1830,"","",false,o_1e2jtcucl7l01gc69q916mtukuf.pdf,"","",""
233,HOW WILL TECHNOLOGY CHANGE OUR LIVES IN TWENTY YEARS?,"<p class=\"MsoNormal\" style=\"line-height:30pt;background:#FFFFFF;\"><strong><span style=\"font-size:22.5pt;font-family:Arial, sans-serif;color:#1c1c1c;\">HOW WILL TECHNOLOGY CHANGE OUR LIVES IN TWENTY YEARS?</span></strong></p>",o_1e2o9nqo31ed31dhf14uhl4911vka.pdf,HOW WILL TECHNOLOGY CHANGE OUR LIVES IN TWENTY YEARS.pdf,"",5,1,20,13678,"",5,1583510973000,false,"",0,0,1837,1838,"","",false,o_1e2o9nqo31ed31dhf14uhl4911vka.pdf,"","",""
698,"Getting Personal—Wearable Devices, Data, and Compliance","Thora Johnson of Orrick joins Bill and Rob to discuss the new data landscape with wearable devices and health apps, and how it has impacted data compliance, cybersecurity, and privacy concerns.","",https://content.lighthouseglobal.com/law-candor-podcast/getting-personal-wearable-devices-data-and-compliance,"",15,1,3,13689,"",0,1653000873000,false,"",0,1,"","","","",false,"","",lighthouseglobal.docebosaas.com,""
244,Unconscious Bias Training Course,"<p><span style=\"font-family:'Segoe UI', Verdana, Arial, sans-serif;font-size:15px;\">In this course, you'll deepen your understanding of unconscious biases, how they influence behavior, and how they impact us all. You'll also learn numerous actions you can take to help counter bias in your own work environment.</span></p>",54e0767954beec233162a310d31b0f6d,https://www.mslearning.microsoft.com/course/72169/launch,"",15,1,20,13988,0,0,1585766113000,false,"",0,0,1886,1889,"","",false,54e0767954beec233162a310d31b0f6d,"","",""
448,Lighthouse Academy - Processing Training - Relativity Upload,"<p>RDC Append - KB0016035 Tutorial on uploading to relativity, a new task that has been assigned to the processing team</p>",sc_1bcfaabf-1585-8be2-1f4e-d7dc6face5b0.mp4,sc_1bcfaabf-1585-8be2-1f4e-d7dc6face5b0.mp4,"",1,1,20,13612,1064,10,1608647317000,false,"",0,0,2689,2688,"","",false,sc_1bcfaabf-1585-8be2-1f4e-d7dc6face5b0.mp4,"","",""
308,Foreign Language OCR Task - Core Training - Processing,"<p>Foreign Language OCR - Core, KB0013965. How to work through a foreign language core ticket.</p>",sc_613596fe-1639-1411-005f-b6f358c7335e.mp4,sc_613596fe-1639-1411-005f-b6f358c7335e.mp4,"",1,1,20,13612,1588,3,1592600726000,false,"",0,0,2120,2119,"","",false,sc_613596fe-1639-1411-005f-b6f358c7335e.mp4,"","",""
507,Walmart's 20 Day User Deactivation Workflow | Month End Users And Email Notification,Month End Users And Email Notification,19d8e080-bc7d-445a-3685-efc4462f9c4d852504750.mp4,19d8e080-bc7d-445a-3685-efc4462f9c4d.mp4,"",1,1,20,13915,254,6,1616626821000,false,"",0,0,3148,3187,"","",false,19d8e080-bc7d-445a-3685-efc4462f9c4d852504750.mp4,"","",""
669,DE&I at Lighthouse Webinar Series: Amplify Intersectionality in the Workplace       Speaker: Vivian Acquah,"<p>In 2022’s first Diversity, Equity, and Inclusion (DE&amp;I) at Lighthouse Webinar Speaker Series, our guest speaker will be Vivian Acquah presenting Amplify Intersectionality in the Workplace. Kimberlé Crenshaw coined the term intersectionality, which is the study of overlapping identities and the interaction between different power structures. During this workshop, we will be provided with a safe space to reflect on intersecting identities such as gender, race, sexual orientation, special abilities, and so much more.</p><p><br /></p><p>Vivian is an inclusive Workplace Wellness Advocate who will be joining us from Amsterdam for the presentation. She will also be mentioning food a few times, so it may be good to have a snack handy!</p>",bbd1aad6efea803c79a482fa820237bb383cbfe91038522811.mp4,DE&I at Lighthouse Speaker Series _ Vivian Acquah_ Amplify Intersectionality in the Workplace-20220315_083316-Meeting Recording.mp4,"",1,1,20,13912,3464,21,1647464003000,false,"",0,0,4645,4644,"","",false,bbd1aad6efea803c79a482fa820237bb383cbfe91038522811.mp4,"",lighthouseglobal.docebosaas.com,""
512,Network Locations | How to VPN into the network,How to VPN into the network.,592ac396-d9c2-e0c7-2d7f-bb84559f62cd1485599241.mp4,592ac396-d9c2-e0c7-2d7f-bb84559f62cd.mp4,"",1,1,20,13915,74,10,1616629404000,false,"",0,0,3175,3190,"","",false,592ac396-d9c2-e0c7-2d7f-bb84559f62cd1485599241.mp4,"","",""
463,2.9.2021 Lunch and Learn Case Dynamics,2.9.2021 Lunch and Learn Case Dynamics,37cd428a00dbc5d1730d77ccb21b54968b345ae52095330952.mp4,2.9.2021 Lunch and Learn Case Dynamics.mp4,"",1,1,20,13106,1755,13,1612886156000,false,"",0,0,2740,2741,"","",false,37cd428a00dbc5d1730d77ccb21b54968b345ae52095330952.mp4,"","",""
324,2019.04 Building and Promoting Your Personal Brand Presentation Deck,<p>WLEAD Past Meetings: Building and Promoting Your Personal Brand by Nikki MacCallum</p>,o_1edf6148i1rdivc81qploje2jva.pptx,Building and Promoting Your Personal Brand.pptx,"",4,1,20,13689,"",5,1595016253000,false,"",0,0,2217,2218,"","",false,o_1edf6148i1rdivc81qploje2jva.pptx,"","",""
676,"Blackout Master/Dupe Workflow, hosted by Jenna Reyna","<p>Blackout Master/Dupe Workflow, hosted by Jenna Reyna</p>","",https://lighthouseglobal.docebosaas.com/learn/course/8456/blackout-masterdupe-workflow-hosted-by-jenna-reyna-march-3-2022?generated_by=13106&hash=084c1b4af9364f44a1044e1efcf8cbc9da5f9b50,"",15,1,20,13106,"",5,1649876297000,false,"",0,0,4696,4695,"","",false,"","",lighthouseglobal.docebosaas.com,""
579,An Interview with Shelia MacKay,<p>An interview with Shelia MacKay</p><p><em>eMagazine</em></p>,29dd8532cfcc84f2a980ac70308306871947113678.pdf,H5-Mackay-LegalBusinessWorld-PDF (1).pdf,"",5,1,20,13912,"",39,1625929701000,false,"",0,0,3814,3815,"","",false,"","","",""
478,Legal Training,For others,"","","",19,1,18,13589,"",0,1614621513000,false,"",0,1,"","","","",false,"","","",""
313,1) Pre-Processed Data Training - Reviewing the Insite Ticket,<p>Segment 1 of 6</p>,sc_8d331ee3-4255-cbc1-3cf1-b83af7675ac5.mp4,sc_8d331ee3-4255-cbc1-3cf1-b83af7675ac5.mp4,"",1,1,20,13885,444,49,1593102416000,false,"",0,0,2142,2141,"","",false,sc_8d331ee3-4255-cbc1-3cf1-b83af7675ac5.mp4,"","",""
199,Escaping the build trap with Melissa Perri at Agile Arizona 2019 Keynote,"<p>Melissa Perri shares her insights of escaping the build trap. MELISSA PERRI CEO &amp; Founder, ProdUX Labs Filmed at the Agile Arizona Conference in Phoenix, AZ ...</p>",9579d49ef47e65e61156864b75e469a0.jpg,https://youtu.be/C9JC5_8aWbE,"",20,1,20,14142,0,3,1576269766000,false,"",0,0,1686,"","","",false,9579d49ef47e65e61156864b75e469a0.jpg,"","",""
420,Diversity & Inclusion,D&I Webinars,"","","",19,1,18,14379,"",0,1604370351000,false,"",0,1,"","","","",false,"","","",""
366,BEAM Kickoff Event,"<p>The inaugural Bridging eDiscovery and Minorities (BEAM) meeting where the founding committee explains the ERGs formation, intent, and plans for the future.</p>",o_1ee15drj014e97i1jg1r6ab15a.mp4,BEAM Kickoff Event-20200724 1802-1.mp4,8210,1,1,20,14276,3277,32,1595619602000,false,"",0,0,2319,2318,"","",false,o_1ee15drj014e97i1jg1r6ab15a.mp4,"","",""
362,Consulting with Wow Factor Training,<p>This informative training shared ways to delight and deliver great results to clients and fellow employees.</p>,o_1ee0i6gp110sg10bl18g1q3uq1ia.mp4,Consulting with Wow Factor Training-20200722 2001-1.mp4,8208,1,1,20,14276,3859,10,1595599439000,false,"",0,0,2312,2311,"","",false,o_1ee0i6gp110sg10bl18g1q3uq1ia.mp4,"","",""
273,Core Training - Major Exceptions Training,"<p>KB0013549, KB0013503 Training video for major exceptions core tasks. Identify &amp; Run Datanumen, Create Datasets.</p>",sc_71aa7e0a-8d32-abdf-11d4-a2a6208bccb3.mp4,sc_71aa7e0a-8d32-abdf-11d4-a2a6208bccb3.mp4,"",1,1,20,13612,545,11,1587776687000,false,"",0,0,1980,1979,"","",false,sc_71aa7e0a-8d32-abdf-11d4-a2a6208bccb3.mp4,"","",""
304,01. Leading@Lighthouse Playbook,"<p><span style=\"font-family:Raleway;font-size:17px;\">The L@LH Playbook is a shared guide that outlines expectations and responsibilities to ensure Leading@Lighthouse aids in our development of people managers . </span></p>",5072d88dac1d670f86fc7534f84e1edd,https://rise.articulate.com/share/XUSBn8BvN9JQWNRkusSzZIZMgR5ZP2Fj,"",15,1,20,13912,0,76,1591973038000,false,"",0,0,2084,2085,"","",false,5072d88dac1d670f86fc7534f84e1edd,"","",""
335,2019.12 Insight Meditation Workshop Recorded Meeting,<p>Insight Meditation Workshop Recorded Meeting</p>,o_1edn05lee9poje16vs1ltakq2k.mp4,"Insight Meditation Workshop - December 12, 2019.mp4",8196,1,1,20,13689,3373,0,1595278547000,false,"",0,0,2247,2246,"","",false,o_1edn05lee9poje16vs1ltakq2k.mp4,"","",""
224,"Structured Analytics Overview Feb. 20th, 2020",<p>This is an intro to Structured Analytics and the Lighthouse workflows. </p>,o_1e23qe81q1fo0rl6bia3r1hma.mp4,Structured Analytics 2.20.2020.mp4,8101,1,1,20,13106,1537,15,1582823841000,false,"",0,0,1818,1817,"","",false,o_1e23qe81q1fo0rl6bia3r1hma.mp4,"","",""
243,Inclusive Leadership,"<p><span style=\"font-family:'-apple-system', 'system-ui', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', 'Fira Sans', Ubuntu, Oxygen, 'Oxygen Sans', Cantarell, 'Droid Sans', 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol', 'Lucida Grande', Helvetica, Arial, sans-serif;font-size:14px;\">Join global workforce management expert Dr. Shirley Davis as she shares how to create and lead an organization that leverages the diverse talents of all contributors. Dr. Davis reveals the benefits of inclusive leadership, including the positive impacts it can have on employee engagement, innovation, and creativity. She then outlines a best practice framework for developing inclusive leaders in an organization, and shares tips for avoiding common leadership pitfalls. Upon wrapping up this course, you'll be equipped with practical strategies you can use to cultivate a more inclusive workforce.</span></p>",b2f9735117acd61cdb1573c2e4b4a9ca.,https://www.linkedin.com/learning/inclusive-leadership/welcome?u=2058572,"",15,1,20,13988,0,1,1585765459000,false,"",0,0,1888,1887,"","",false,b2f9735117acd61cdb1573c2e4b4a9ca.,"","",""
153,Accept or Reject an SD Idea,<p>Provides information about how to evaluate an SD Idea and accept or reject it.</p>,o_1dnptmi4114hrci52j015f31kqca.mp4,Evaluate an SD Idea - Video.mp4,8083,1,1,20,14004,198,6,1571754297000,false,"",0,0,1557,1556,"","",false,o_1dnptmi4114hrci52j015f31kqca.mp4,"","",""
660,Stage Data QC Tool - Stage Data QC (New Architecture) CORE - Processing,<p>Working with the new Stage Data QC Tool</p><p><br /></p><p>\\lighthouse\corp\Software\Public\Stage_QC</p><p><br /></p><p><br /></p>,066621a8-e70b-e862-063f-447ae1e99b121431512591.mp4,066621a8-e70b-e862-063f-447ae1e99b12.mp4,"",1,1,20,13612,387,14,1644410942000,false,"",0,0,4446,4448,"","",false,066621a8-e70b-e862-063f-447ae1e99b121431512591.mp4,"",lighthouseglobal.docebosaas.com,""
506,"Walmart Monthly Dashboards | Collections, Users and Workspaces",Overview of Walmart's monthly dashboards.,d2488bd0-e2c4-5e1f-12ba-9c9a42d1324d1683089727.mp4,d2488bd0-e2c4-5e1f-12ba-9c9a42d1324d.mp4,"",1,1,20,13915,146,10,1616626286000,false,"",0,0,3142,3185,"","",false,d2488bd0-e2c4-5e1f-12ba-9c9a42d1324d1683089727.mp4,"","",""
315,2) Pre-Processed Data Training - Load File Analysis,<p>2 / 6</p>,sc_7e73ebf6-0fed-dce2-1e35-a39b3aaadef1.mp4,sc_7e73ebf6-0fed-dce2-1e35-a39b3aaadef1.mp4,"",1,1,20,13885,391,38,1593124074000,false,"",0,0,2146,2145,"","",false,sc_7e73ebf6-0fed-dce2-1e35-a39b3aaadef1.mp4,"","",""
527,RCA Training 5.11.21 RDC - RIP,<p>RCA Training 5.11.21 RDC - RIP</p>,30758fe7cd4b9fa3dc8f99cfb63c7d4c52e634af1141397902.mp4,RCA Training 5.11.21 RDC - RIP.mp4,"",1,1,20,13106,3447,12,1620768591000,false,"",0,0,3468,3469,"","",false,30758fe7cd4b9fa3dc8f99cfb63c7d4c52e634af1141397902.mp4,"","",""
134,Learning Objectives Job Aid,<p>Job aid: How to write learning objectives</p>,o_1dl31l49j13841jj43cceq3ke7a.pdf,writing-better-learning-objectives-job-aid.pdf,"",5,1,20,13912,"",22,1568839209000,false,"",0,0,1502,1503,"","",false,o_1dl31l49j13841jj43cceq3ke7a.pdf,"","",""
291,Learn about post-load scripts and how they fit into the Lighthouse workflow,"<p>Presented by Linda Sumas, Director, Review Solutions</p>
<p>Audio Recording:</p>
<p>https://web.microsoftstream.com/video/bbd4e1be-b1ba-47e3-bd77-e9818b090f87 </p>",o_1e8kg958bb4f1ilj1ndp8mt1i02a.pptx,Lighthouse_Postload Scripts and Processes-Lessons Learned.pptx,"",4,1,20,13878,"",19,1589826065000,false,"",0,0,2042,2045,"","",false,o_1e8kg958bb4f1ilj1ndp8mt1i02a.pptx,"","",""
128,Development Ally & Learning Coach: Roles and Responsibilities (3 of 4),<p>Development Ally &amp; Learning Coach: Roles and Responsibilities. Please watch this session third (3 of 4).</p>,sc_7dc6ef6d-612d-6bd3-830e-8365c2f64b9e.mp4,sc_7dc6ef6d-612d-6bd3-830e-8365c2f64b9e.mp4,"",1,1,20,13912,279,34,1568416658000,false,"",0,0,1493,"","","",false,sc_7dc6ef6d-612d-6bd3-830e-8365c2f64b9e.mp4,"","",""
227,Email Phishing and fake alerts,"<p style=\"background:#FFFFFF;\"><span style=\"font-family:Calibri, sans-serif;\">The sample below came to one of our users this morning. IT is working to remove from all recipients mailboxes.</span></p>
<p style=\"background:#FFFFFF;\"><span style=\"font-family:Calibri, sans-serif;\">Within our industry, multiple vendors have been attacked and had successful infiltration. We want to prevent that from happening at Lighthouse.</span></p>",o_1e2j4ujtd145sitlnel18dk13u2a.pdf,DG Test.pdf,"",5,1,20,13689,"",3,1583338180000,false,"",0,0,1825,1826,"","",false,o_1e2j4ujtd145sitlnel18dk13u2a.pdf,"","",""
186,Masterful Virtual Trainer Tip: Training Learners on the,"<p>Key Ideas: 1. We train people based on perfect answers which doesn't work all the time. 2. Learners also need to know the exceptions. 3. Exceptions are thing...</p>
<p> </p>
<p>Curated by: Tim Hammon</p>",d305a8efbf80818a2d442672d02f8820.jpg,https://www.youtube.com/watch?v=1h1Zc0VFk2c&feature=youtu.be,"",20,1,20,13689,0,3,1575659602000,false,"",0,0,1659,1658,"","",false,d305a8efbf80818a2d442672d02f8820.jpg,"","",""
457,Technical Training,This is used for technical training,"","","",19,1,18,14437,"",0,1612002489000,false,"",0,1,"","","","",false,"","","",""
717,Work Will Never Be the Same—Savvy Business Leaders Are Adapting to Change That’s Already Here,The pandemic has caused unprecedented organizational disruption. But it also has offered valuable lessons about the way we work—and created significant opportunities.,"",https://www.bcg.com/publications/2020/how-business-leaders-are-adapting-during-covid-19?linkId=152853411,"",15,1,20,13689,"",1,1653004295000,false,"",0,0,4940,4937,"","",false,"","",lighthouseglobal.docebosaas.com,""
217,Workflow Learning Idea: Workflow Learning - To Help Learners Think,<p>Key Ideas: 1. Workflow Learning focuses on helping the learners think through work problems. 2. It helps learners to figure out how to find solutions. 3. Oth...</p>,a7caa608eb6a255f8a881aa5ec0ffd1b.jpg,https://www.youtube.com/watch?v=9JVGii6pSZA&feature=youtu.be,"",20,1,20,13912,0,5,1582665708000,false,"",0,0,1800,1799,"","",false,a7caa608eb6a255f8a881aa5ec0ffd1b.jpg,"","",""
550,Opioid Data Tracker | How To Populate,"<p>Steps on obtaining information from Timbers, PAT Cull Tracker and Master Processing Report to populate the Opioid Data Tracker</p>",d94fe077-fd3b-8a51-9e07-01b97651bcf01049017442.mp4,d94fe077-fd3b-8a51-9e07-01b97651bcf0.mp4,"",1,1,20,13915,574,3,1623355668000,false,"",0,0,3670,3678,"","",false,d94fe077-fd3b-8a51-9e07-01b97651bcf01049017442.mp4,"","",""
593,03e - ChatSmart Auto-Processing (New Architecture) - Setting Up APR - Part 2,<p>KB0015555 </p><p><br /></p><p>Setting up APR</p>,6baf22be-53de-8a3e-3d49-152de9947fb8348106422.mp4,6baf22be-53de-8a3e-3d49-152de9947fb8.mp4,"",1,1,20,13612,792,0,1626179226000,false,"",0,1,3860,3861,"","",false,6baf22be-53de-8a3e-3d49-152de9947fb8348106422.mp4,"","",""
704,Lighthouse volunteers at the Marra Farm Giving Garden,"<p>Marra Farm is 8.7 acres of preserved farmland located in the Duwamish River Valley in Seattle’s South Park neighborhood. A large segment of that land is dedicated to the Marra Farm Giving Garden, where organic produce is grown and youth educational opportunities are created for the community. The Giving Garden is one of many projects run by Solid Ground, a nonprofit organization focused on ending poverty and undoing racism and other oppressions that are the root causes of poverty.</p><p>The Marra Farm Giving Garden was first introduced to Lighthouse by Chrissy Bauer, Senior Administrative Assistant at Lighthouse. This past spring, Chrissy took some of her volunteer time off (VTO) to work at Marra Farm with her sister. The two worked with other volunteers to harvest beans, dig garden beds, and plant spinach for the fall harvest. Chrissy enjoyed her experience so much that she organized an Urban Farm Work Party for others in the Seattle office this fall.</p>","",https://www.lighthouseglobal.com/news-events/lighthouse-volunteers-at-the-marra-farm-giving-garden,"",15,1,20,13689,"",0,1653001568000,false,"",0,0,4890,4891,"","",false,"","",lighthouseglobal.docebosaas.com,""
237,Self Care Resources Infographic,"<p>Get information and links on many self care topics including yoga, guided meditation, journaling, breathing exercises and much more!</p>",o_1e3o4e216m5t8jrkooueq1355a.pdf,Self Care infographic.pdf,"",5,1,20,13586,"",2,1584579161000,false,"",0,0,1867,1868,"","",false,o_1e3o4e216m5t8jrkooueq1355a.pdf,"","",""
414,2020 Q4,Lindsay to Watch,"","","",19,1,18,14055,"",0,1602540015000,false,"",0,1,"","","","",false,"","","",""
649,Steganography - Alternate Data Streams,"<p>Steganography is the science of hiding data within data, and there are countless techniques and applications that are used in its practice. </p><p><br /></p><p>In this presentation, we’ll be looking at a technique that anyone on a Windows system can put to use.</p>",96cd38a1249ff186e9625f6aa7d97dc91869746c336438035.mp4,ADS.mp4,"",1,1,20,15229,542,1,1642449113000,false,"",0,1,4382,"","","",false,96cd38a1249ff186e9625f6aa7d97dc91869746c336438035.mp4,"",lighthouseglobal.docebosaas.com,""
263,Supervised Learning Webinar 2019 v1 1,"<p>Supervised Learning Lecture - Dave Lewis PhD., Brainspace Chief Data Scientist</p>",657751d53c99bb7d4b8a6176f54fe708.jpg,https://www.youtube.com/watch?v=yFJ5ypajeTA&feature=youtu.be,"",20,1,20,13689,0,3,1587059054000,false,"",0,0,1944,1943,"","",false,657751d53c99bb7d4b8a6176f54fe708.jpg,"","",""
718,Hosting Legacy NRredact Process,"<p>This video contains the Hosting Legacy NRredact Process, as presented by Drew Duenkel. The related KB can be viewed here:</p><p><a href=\"https://lhediscoveryprod.service-now.com/kb_view.do?sys_kb_id=4c536aa6db3f30d42f5bf674b99619f8&amp;sysparm_rank=3&amp;sysparm_tsqueryId=aef96b461be30118e1e6caa7624bcb4c\" target=\"_blank\" rel=\"noreferrer noopener\">Legacy Native Redaction Workflow (NRW)</a></p>",472dad5833eb0e65aa26b469a9915a3b41b1b570704861053.mp4,Hosting Legacy NRedact Process as Presented by Drew Duenkel.mp4,"",1,1,20,14407,854,1,1653063105000,false,"",0,0,4967,4966,"","",false,472dad5833eb0e65aa26b469a9915a3b41b1b570704861053.mp4,create,lighthouseglobal.docebosaas.com,""
687,Random to Watch,Should watch these,"","","",19,1,18,15389,"",0,1651109865000,false,"",0,1,"","","","",false,"","","",""
354,Prism Flash Session Deck,<p>One Summit 2020 Prism flash session powerpoint.</p>,o_1edpootvi1ek51fjuaa1fk5amia.pdf,Lighthouse 2020 One Summit_Prism Flash Session.pdf,"",5,1,20,14276,"",22,1595371452000,false,"",0,0,2289,2290,"","",false,o_1edpootvi1ek51fjuaa1fk5amia.pdf,"","",""
671,Work-Life Balance Seminars,Work-Life Balance Seminars,"","","",19,1,18,15176,"",0,1647795710000,false,"",0,1,"","","","",false,"","","",""
458,02.01.2021 RS Lunch and Learn,<p>02.01.2021 RS Lunch and Learn</p>,o_1etfmeip01higvunml0q65ms1a.mp4,02.01.2021 RS Lunch and Learn.mp4,8246,1,1,20,13106,2994,12,1612213341000,false,"",0,0,2715,2714,"","",false,o_1etfmeip01higvunml0q65ms1a.mp4,"","",""
476,Walmart Training - Who's Who | Document Review Teams,"In this session, get to know the leaders on the document review side.",0ee20f54-1d58-9261-2afa-e9c5bbe20f55726149417.mp4,0ee20f54-1d58-9261-2afa-e9c5bbe20f55.mp4,"",1,1,20,13878,522,9,1614317539000,false,"",0,0,2793,2794,"","",false,0ee20f54-1d58-9261-2afa-e9c5bbe20f55726149417.mp4,"","",""
600,Forensics,Mobile Collection,"","","",19,1,18,14337,"",0,1631217796000,false,"",0,1,"","","","",false,"","","",""
737,"InSite Workflow #3: Matter Initiation, Queue Management & Reporting","<p>InSite Workflow #3: Matter Initiation, Queue Management &amp; Reporting</p>","",https://lighthouseglobal.docebosaas.com/learn/course/8541/review-solutions-session-3-prism-based-solutions-sensitive-data-identification-portfolio-analytics?generated_by=13106&hash=b690b4eb939bbe231e482144320c880b2c0bc675,"",15,1,20,13106,"",0,1656072292000,false,"",0,0,5152,5153,"","",false,"","",lighthouseglobal.docebosaas.com,""
23,Relativity Analytics Overview,"<p>Relativity Analytics helps you organize and assess the semantic content of large, diverse and/or unknown sets of documents. Using these features, you can cut down on review time by more quickly assessing your document set to facilitate workflow.</p>",aa737e51253b098f38a5888555c338ff,https://help.relativity.com/10.0/Content/Relativity/Analytics/Analytics.htm,"",15,1,20,13106,0,15,1561407950000,false,"",0,0,301,300,"","",false,aa737e51253b098f38a5888555c338ff,"","",""
692,Malbek Training for Sales Enablement- Module 2 - Reference Slides,<p>Step by step PowerPoint reference slides on Handling Redlines and Finalizing the Contract (05.11.2022)</p><p><br /></p>,731cd92b62737ca66c1bec6c9e86a623662179875.pptx,SE_Malbek Training - Handling Redlines and Finalizing the Contract_5.11.2022.pptx,"",4,1,20,15219,"",95,1652292063000,false,"",0,0,4821,4822,"","",false,"",update,lighthouseglobal.docebosaas.com,""
312,Wellness from Home,<p>We are casting a spotlight on the importance of mental health and well-being during the month of June.  Watch as we discuss simple strategies and resources to help you take care of yourself during these turbulent times.</p>,o_1ebk6h73t12g7df42rq1gfe1of2a.mp4,Wellness from Home-20200623 1601-1.mp4,8161,1,1,20,14116,1628,16,1593037069000,false,"",0,0,2135,2143,"","",false,o_1ebk6h73t12g7df42rq1gfe1of2a.mp4,"","",""
